cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
8,0,inf,inf,8,"[46, 23, 11, 125, 140, 240, 51, 44]","[2, 1, 0, 5, 6, 8, 3, 4]",3.602258828076229,0.20724676509600443,98.39202821877294,-136.33714857762564,907.9106622890359,-1894.5944771766663,2685,-0.05688766620628153,raw_lidar_xy_decimated,5646,0.5,0.4905840503942045,98.88261226916714,9,1.0,207.10476817199742,1916,-1899.828,solution,-136.9252826600558,909.03081814703,-1894.6246296527527,5.203370347247271,1.265168307030491,0.030152476086414026
7,0,inf,inf,10,"[12, 11, 23, 22, 223, 43, 140, 44, 240, 9]","[1, 0, 3, 4, 10, 5, 9, 7, 11, 2]",3.2267718862224544,0.15083632269796254,86.36803490391382,-136.5639435194263,915.762834462484,-1894.017763018608,2300,-0.11784308503689331,raw_lidar_xy_decimated,8047,0.5,0.6725621020513586,85.69547280186246,13,1.0,275.67874792899966,1925,-1899.828,solution,-136.77751688541014,918.1550246960771,-1894.1191364994163,5.7088635005837345,2.401705164327256,0.1013734808082063
8,0,inf,inf,9,"[44, 29, 16, 58, 34, 9, 11, 20, 33]","[8, 5, 3, 9, 6, 0, 1, 4, 7]",2.9141071210468787,0.04021656846962674,121.69678431986084,-156.04739419428466,1003.828085752829,-1894.0800105333328,2876,-0.07567416815856004,raw_lidar_xy_decimated,7166,0.5,0.03344026301942904,121.73022458288027,10,1.0,656.226702426,2013,-1899.828,solution,-156.37749564604286,1003.7188667422963,-1894.115718635322,5.712281364677983,0.34770067689696427,0.03570810198925756
8,0,inf,inf,7,"[9, 44, 20, 33, 16, 29, 11]","[0, 7, 3, 4, 2, 5, 1]",2.3955183311019086,0.06222479167131145,119.92229813549118,-157.2582016246143,1006.248685094347,-1894.1601971387863,2993,-0.09354300888759831,raw_lidar_xy_decimated,6021,0.5,0.22306878877384406,120.14536692426502,8,1.0,598.4072186820013,2016,-1899.828,solution,-157.91606996087484,1006.3088935405793,-1894.2001912949233,5.627808705076691,0.660617744881207,0.03999415613702695
8,0,inf,inf,12,"[223, 44, 52, 66, 21, 9, 71, 58, 29, 16, 8, 33]","[13, 7, 9, 11, 6, 0, 12, 10, 5, 3, 2, 8]",5.09353246509543,0.08977692832654935,124.41038815794408,-172.67747629740472,1026.270780418259,-1893.2761333733797,2338,-0.2083012246736218,raw_lidar_xy_decimated,8594,0.5,4.301137148247506,120.10925100969659,14,1.0,684.9326445620027,2039,-1899.828,solution,-169.67986465904033,1026.5955141987897,-1893.4068563601793,6.421143639820608,3.015149675003789,0.13072298679958294
8,0,inf,inf,19,"[21, 9, 71, 20, 16, 44, 52, 8, 223, 34, 163, 58, 29, 33, 11, 43, 249, 240, 26]","[6, 0, 14, 5, 2, 10, 11, 1, 21, 9, 19, 12, 4, 8, 3, 13, 22, 20, 7]",8.262550560752967,0.22983316709505391,109.53461024492674,-171.87517947276342,1030.9518428844772,-1893.2921950817108,2122,-0.08665186989328559,raw_lidar_xy_decimated,9567,0.5,1.0697839773202702,110.60439422224701,23,1.0,421.854674446,2045,-1899.828,solution,-172.57985875494103,1031.9695375288288,-1893.2894247264512,6.538575273548754,1.2378510733817618,0.002770355259599455
8,0,inf,inf,10,"[9, 8, 21, 29, 163, 20, 16, 11, 33, 34]","[1, 0, 3, 6, 11, 5, 4, 7, 8, 9]",4.186560998230574,0.40860130976952463,110.6568379394234,-176.70857428087447,1043.7813126414605,-1893.7518951892853,2891,-0.10354819751844248,raw_lidar_xy_decimated,6620,0.5,0.029040580983632935,110.68587852040702,12,1.0,535.6861075920024,2059,-1899.828,solution,-176.5901131667398,1045.597039820983,-1893.6789511104794,6.149048889520679,1.8195873779563967,0.0729440788059037
7,0,inf,inf,7,"[9, 29, 21, 8, 11, 20, 52]","[0, 4, 5, 2, 1, 3, 7]",5.613550616512251,0.2185136037307877,121.46572926719413,-178.04094504935327,1046.8545304189429,-1893.8365331888199,3004,-0.0679537049305945,raw_lidar_xy_decimated,5206,0.5,0.4703754776853941,120.99535378950874,8,1.0,301.0438620320019,2063,-1899.828,solution,-178.4524485053389,1049.1965880915225,-1893.8531454510207,5.974854548979167,2.3779338165678685,0.016612262200851546
3,0,inf,inf,5,"[21, 29, 9, 8, 163]","[2, 3, 1, 0, 4]",9.628653643649866,0.18561908476817043,134.87182173617646,-186.59392005279352,1061.013901783323,-1894.1924799084663,134,-0.10518309349260373,raw_lidar_xy_decimated,5231,0.5,2.695173459724316,132.17664827645214,5,1.0,70.89892153999972,2079,-1899.828,solution,-188.3543654842532,1062.0010310830294,-1894.2563437102215,5.57165628977846,2.018314240024583,0.06386380175513295
8,0,inf,inf,7,"[38, 163, 21, 189, 8, 9, 29]","[5, 6, 2, 7, 0, 1, 4]",2.1093439393804805,0.08160479823973105,139.7636416907262,-209.71557633000887,1082.3856773470252,-1894.229216337204,2027,-0.09195122812760036,raw_lidar_xy_decimated,5094,0.5,0.7880756178872161,138.97556607283897,8,1.0,409.25703962899934,2108,-1899.828,solution,-209.65490334788228,1082.3297046090847,-1894.2836874883144,5.544312511685524,0.08254791428428387,0.05447115111041967
8,0,inf,inf,8,"[21, 176, 29, 9, 163, 8, 189, 38]","[2, 7, 3, 0, 6, 1, 8, 5]",6.528438741406335,0.1835301911354468,136.81052483723897,-209.90175832078424,1082.0475126587974,-1894.2833805084229,2647,-0.04295421961339074,raw_lidar_xy_decimated,5082,0.5,0.18264448335764882,136.62788035388132,9,1.0,424.33853521900164,2109,-1899.828,solution,-210.4103355016465,1082.9996874912088,-1894.2864951064382,5.541504893561789,1.0794849051151598,0.003114598015372394
