frame_index,frame_id,run_id,source_sequence,source_frame_index,timestamp_ns,scan_path,pose_path,transform_path,global_frame,tx,ty,tz,qx,qy,qz,qw,stage_origin_x_m,stage_origin_y_m,stage_yaw_deg,quality_flag,sensor_config_id
44,000044,east_plateau_safe,apollo15rille_east_plateau_safe_03,44,164000008553,scans/000044.npy,poses/000044.npy,transforms/000044.npz,global_dem,-647.4245892703755,1806.8234246279194,0.8034668462510379,0.025421055992165903,-0.006903239884052051,-0.4904745949433908,0.8710572810708049,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
45,000045,east_plateau_safe,apollo15rille_east_plateau_safe_03,45,167050008712,scans/000045.npy,poses/000045.npy,transforms/000045.npz,global_dem,-646.9024659016062,1805.961711237838,0.7779541520555122,0.03100134702671953,-0.002585569998075795,-0.48966822399796206,0.8713536949580208,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
46,000046,east_plateau_safe,apollo15rille_east_plateau_safe_03,46,170100008871,scans/000046.npy,poses/000046.npy,transforms/000046.npz,global_dem,-646.3768482701588,1805.100512832005,0.7423096219225572,0.03304782956802192,-0.0002438678908223916,-0.48839005082945935,0.8719993920525937,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
47,000047,east_plateau_safe,apollo15rille_east_plateau_safe_03,47,173133342362,scans/000047.npy,poses/000047.npy,transforms/000047.npz,global_dem,-645.8519535240926,1804.2460435521202,0.7052002480315305,0.03633444587841698,0.0017510311470798434,-0.487221079210694,0.8725206942562435,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
48,000048,east_plateau_safe,apollo15rille_east_plateau_safe_03,48,176266675859,scans/000048.npy,poses/000048.npy,transforms/000048.npz,global_dem,-645.3100318758188,1803.365645775551,0.6665039601118683,0.03688700973235427,-0.0016406736320413173,-0.4875968843814362,0.8722877593114297,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
49,000049,east_plateau_safe,apollo15rille_east_plateau_safe_03,49,179383342688,scans/000049.npy,poses/000049.npy,transforms/000049.npz,global_dem,-644.7725867749323,1802.4891122871613,0.6413574768742829,0.035110157465717245,-0.007296123279738881,-0.4861728362135507,0.8731265754493397,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
50,000050,east_plateau_safe,apollo15rille_east_plateau_safe_03,50,182500009518,scans/000050.npy,poses/000050.npy,transforms/000050.npz,global_dem,-644.2325667535056,1801.615596224417,0.6267090405086404,0.03331026186017951,-0.009934340271338552,-0.48694177626888324,0.8727424831313556,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
51,000051,east_plateau_safe,apollo15rille_east_plateau_safe_03,51,185616676347,scans/000051.npy,poses/000051.npy,transforms/000051.npz,global_dem,-643.6951693362957,1800.7379793620087,0.6070557213348228,0.037968499439185115,-0.004805464695811007,-0.48776469705279524,0.8721358270753409,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
52,000052,east_plateau_safe,apollo15rille_east_plateau_safe_03,52,188716676509,scans/000052.npy,poses/000052.npy,transforms/000052.npz,global_dem,-643.1658590774164,1799.863841503195,0.5776367771553358,0.038511514280062456,-0.0026382806608197164,-0.4881715516304031,0.8718935938070517,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
53,000053,east_plateau_safe,apollo15rille_east_plateau_safe_03,53,191816676670,scans/000053.npy,poses/000053.npy,transforms/000053.npz,global_dem,-642.6329877986356,1798.9896807563125,0.5332031845390665,0.0403787680237926,0.0034953538781156736,-0.4888183984312033,0.871443578752693,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
54,000054,east_plateau_safe,apollo15rille_east_plateau_safe_03,54,194900010164,scans/000054.npy,poses/000054.npy,transforms/000054.npz,global_dem,-642.1087281995874,1798.1332278338075,0.48046881065025465,0.04283554927699153,0.0044800788999726365,-0.48890660398043734,0.8712722750067882,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
55,000055,east_plateau_safe,apollo15rille_east_plateau_safe_03,55,197966676991,scans/000055.npy,poses/000055.npy,transforms/000055.npz,global_dem,-641.5819776030061,1797.27085831594,0.4310303352063999,0.04390126238065154,-0.0022594100380588377,-0.4895291501028365,0.8708781691070571,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
