estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
80.44178884245233,-208.75403539800664,1136.0461557194183,-1894.8113219738007,0.19808441336543964,78.78613886657891,darces,-211.26755999627198,1135.7497769914928,0.799428531541179,6.574617191668927,2161,-1899.828,solution,-209.78668020636655,1135.0543750136535,-1894.8759727067365,4.952027293263419,1.431776612659934,0.0646507329358883
149.28864225461822,-238.2076685234995,1171.8407663049115,-1895.7233518064022,0.062484914879807806,149.2916764033478,darces,-238.220619869471,1171.7570385259194,1.8870559271712066,9.642896388281637,2218,-1899.828,solution,-238.98437446586553,1172.4791175816154,-1895.7696495143248,4.05835048567509,1.0053678298891806,0.04629770792257659
140.446626689343,-243.4094023515311,1176.2678625595559,-1895.8871133625507,0.07412455449842957,141.6633638479208,ransac,-242.74573728788357,1175.2309179229917,0.19160685108798253,1.5682523898848144,2224,-1899.828,solution,-244.1801448464023,1175.6295690488273,-1895.9092979565462,3.9187020434538615,1.0007310324150307,0.02218459399546191
136.74441118318612,-259.4415735655805,1179.5973761922837,-1895.8406511247158,0.23002437233858436,140.23643375296453,ransac,-258.58351280135753,1178.003870434885,2.4877313627366866,17.45761565533146,2237,-1899.828,solution,-253.39370720778265,1185.0531526914478,-1895.8255577350658,4.002442264934189,8.145071190027402,0.015093389650019162
130.36972505910654,-259.86978584448104,1205.9497275692945,-1895.5008750148118,0.06938425388355632,131.62140390674108,ransac,-259.44949514208236,1205.9074012072028,5.167026124398691,27.058365508870565,2249,-1899.828,solution,-261.3119509588821,1194.2935088432675,-1895.5714073568683,4.2565926431317305,11.745095793827186,0.07053234205659464
121.41269780017207,189.77026962362788,292.409845999523,-1898.3214716911316,0.1750001514997065,125.73537851405246,darces,194.04279998210708,290.18868427974587,3.443992493409659,30.436949770746246,2261,-1899.828,solution,-268.9704290931196,1203.7551784808422,-1895.6953087366937,4.132691263306295,1020.2908132952174,2.6261629544378593
119.5571523102037,-270.7672648277908,1208.40838370524,-1895.4923046827316,0.270444589104713,117.62396188902427,darces,-270.9094511922247,1208.087398666079,2.5965366077125247,13.655410614226529,2265,-1899.828,solution,-271.0020759518388,1207.2641505734873,-1895.6470909677862,4.180909032213705,1.1680777901225072,0.15478628505456982
117.4709626808271,-281.49382864922745,1245.2520979670444,-1895.2072919234633,0.03402958510224413,117.12487690661018,ransac,-281.51971926273586,1245.3753621183519,3.214108886364426,16.47360090197191,2305,-1899.828,solution,-283.6537191957054,1244.9459127996781,-1895.3966027334056,4.431397266594265,2.1814849367987432,0.18931080994229887
119.67927574920525,-287.932815946551,1253.107839563813,-1895.1610412299633,0.000535145016529094,119.67346271441964,ransac,-287.9332462035152,1253.1105720974597,3.0553208851180855,15.622521861796615,2312,-1899.828,solution,-287.2062096569232,1251.0589497774226,-1895.2452355538003,4.582764446199777,2.173914914825704,0.08419432383698222
118.45675826585368,-282.96028064619884,1253.7596967886725,-1895.0407108068466,0.38969001290974103,116.97889792503612,darces,-285.53189210768244,1252.1520418402192,2.7265745011368376,15.439755483794102,2314,-1899.828,solution,-288.2097192444956,1252.839711459037,-1895.1623498139063,4.665650186093648,5.32944449300603,0.12163900705968445
