cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,feature_count_npz,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,log10_hypotheses,median_abs_elevation_angle_deg,median_feature_range_m,median_sigma_z_m,moga_delta_error_m,moga_xy_error_m,overlap,profile,ransac_delta_error_m,ransac_xy_error_m,runtime_s,selected_fraction,site,status,terrain_mae_m,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,13482,0.25,,0.10866054614293187,4,0.0,1.9432576239450725,38.39632958055746,0.5627868158109088,nan,,,0p5m,nan,nan,1.278099643997848,0.0,196,no_solution,nan,,,,,
,,,,,,,,,,,,,,5,,raw_lidar_xy_decimated,17324,0.25,,-107.3886681037075,5,0.0,1.9023297119872438,39.42873317772206,0.5586177216530341,nan,,,0p5m,nan,nan,2.52116358600324,0.0,200,no_solution,nan,,,,,
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,12731,0.25,,-88.53339214624326,4,0.0,1.7972179821286947,34.07302278281695,0.5534980253168768,nan,,,0p5m,nan,nan,1.7622774650226347,0.0,204,no_solution,nan,,,,,
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,11531,0.25,,-90.13536323543708,4,0.0,1.4960566046318788,29.78686096907419,0.5370695053013643,nan,,,0p5m,nan,nan,1.7644133729918394,0.0,210,no_solution,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-89.61315627663696,2,0.0,2.375501451590235,33.13521047823801,0.5910167765746039,nan,,,0p5m,nan,nan,,0.0,223,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-89.96540022538525,2,0.0,2.5353203308475325,29.204320661844235,0.6005919729004102,nan,,,0p5m,nan,nan,,0.0,229,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-89.92719279074173,2,0.0,2.5556893118516273,25.90028282762307,0.61078166737265,nan,,,0p5m,nan,nan,,0.0,246,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-108.2797641414029,2,0.0,2.7929801607439293,24.501364245906945,0.6311227363345269,nan,,,0p5m,nan,nan,,0.0,249,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-83.38405818384007,2,0.0,2.605795560374057,22.914884287348013,0.6346244423139666,nan,,,0p5m,nan,nan,,0.0,252,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-89.6620544642588,2,0.0,3.0249843054968784,23.24378161958515,0.6663766679218912,nan,,,0p5m,nan,nan,,0.0,258,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,18080,0.25,,-89.98398465894618,3,0.0,1.2457234282938676,36.07804041241708,0.5259263408109836,nan,,,0p5m,nan,nan,0.0008344319940079004,0.0,273,no_solution,nan,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,14498,0.25,,-179.99753926075917,3,0.0,1.6908130282384175,38.34872879249063,0.5468217751219201,nan,,,0p5m,nan,nan,0.27569059099187143,0.0,313,no_solution,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-179.99432090327997,1,0.0,2.6218904591245007,38.84745808930103,0.6065921774461258,nan,,,0p5m,nan,nan,,0.0,316,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-179.99612592180463,1,0.0,2.135123707429781,43.739284402010966,0.5728746617566872,nan,,,0p5m,nan,nan,,0.0,317,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,179.99510632811723,1,0.0,2.4848892146302495,42.21522237297821,0.5966022027721899,nan,,,0p5m,nan,nan,,0.0,326,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,179.90998684115812,2,0.0,2.66231793312065,34.336445680451,0.6096408457737965,nan,,,0p5m,nan,nan,,0.0,330,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,179.83515729274612,2,0.0,2.301704438276301,44.47325167453447,0.5839571545580835,nan,,,0p5m,nan,nan,,0.0,347,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,12126,0.25,,-179.8771279070793,3,0.0,2.2098534088316466,30.775396016948346,0.5777193837735426,nan,,,0p5m,nan,nan,0.316837955993833,0.0,350,no_solution,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,179.80700288565973,1,0.0,1.6710416913600716,38.11331788233609,0.5457781859790429,nan,,,0p5m,nan,nan,,0.0,355,skipped_insufficient_features,nan,,,,,
